transaction_id,actual_fraud,predicted_fraud,fraud_probability,risk_level,correct
195743,0,0,0.0,LOW,True
31905,0,0,0.0003,LOW,True
29325,0,0,0.0001,LOW,True
131923,0,0,0.0001,LOW,True
170199,0,0,0.0,LOW,True
283557,0,0,0.0,LOW,True
67250,0,0,0.0021,LOW,True
116757,0,0,0.0,LOW,True
106165,0,0,0.0,LOW,True
267610,0,0,0.0,LOW,True
29594,0,0,0.0,LOW,True
42958,1,1,1.0,HIGH,True
156151,0,0,0.0,LOW,True
203324,1,1,0.9999,HIGH,True
48094,1,1,0.9968,HIGH,True
204064,1,1,0.9996,HIGH,True
220012,0,0,0.0,LOW,True
214398,0,0,0.0,LOW,True
199113,0,0,0.0,LOW,True
201844,0,0,0.0,LOW,True
141260,1,1,0.9999,HIGH,True
5560,0,0,0.0001,LOW,True
234405,0,0,0.0004,LOW,True
166282,0,0,0.0,LOW,True
145931,0,0,0.0001,LOW,True
77348,1,1,1.0,HIGH,True
193971,0,0,0.0001,LOW,True
129615,0,0,0.0001,LOW,True
45791,0,0,0.0001,LOW,True
52584,1,1,0.9998,HIGH,True
120365,0,0,0.1456,LOW,True
175745,0,0,0.0,LOW,True
231476,0,0,0.0,LOW,True
102442,1,1,1.0,HIGH,True
279009,0,0,0.0,LOW,True
119781,1,1,0.9999,HIGH,True
41359,0,0,0.0,LOW,True
43493,0,0,0.0,LOW,True
29290,0,0,0.0,LOW,True
102400,0,0,0.0001,LOW,True
197288,0,0,0.0,LOW,True
180171,0,0,0.0,LOW,True
98802,0,0,0.0004,LOW,True
47339,0,0,0.0,LOW,True
104081,0,0,0.0,LOW,True
151519,1,1,1.0,HIGH,True
32974,0,0,0.0,LOW,True
234355,0,0,0.0027,LOW,True
266625,0,0,0.0,LOW,True
45188,0,0,0.0,LOW,True
